,T_in (K),P_in (Pa),Conversion,F_in (mol/s),Heat Duty (W),F_out (mol/s),T_out (K),H2,H2O,CO2,CO,CH4
168,600.0493511293706,1101197.109629687,0.7257116701469757,309,17150079.252785366,417.86602015124635,1016.2108680618417,0.45788341977364905,0.3626184249907289,0.06712389899718445,0.06314406343278442,0.0492301928056532
169,638.6155699511397,955523.4469140512,0.5170217535721958,309,11794303.907553485,386.5625326650293,930.0059368229132,0.37095539409810446,0.43501085090837793,0.07002117330917917,0.030306220045110056,0.09370636163922849
170,594.4172337194979,952939.9255565959,0.7887576998786945,309,18482129.88069957,427.32292461100417,1029.0985942396444,0.48126813953320363,0.34320610363762843,0.06596048283713656,0.07248986428046471,0.037075409711566705
171,670.6796199504131,1112654.5729234642,0.8043609198233228,309,18111186.251727525,429.6634076026984,1048.1324693631611,0.4850049005868308,0.34042547485217617,0.06378865606177334,0.07663114155650143,0.034149826942718293
172,549.5399317788913,815543.0833009256,0.6417113382896232,309,15465361.868602289,405.2659703726435,963.5081556467946,0.42794302066323076,0.38697807995661265,0.07167069169763157,0.047101999925753125,0.06630620775677187
173,590.0528734711129,860406.1594875238,0.6337644891277849,309,14856231.650849398,404.0739429983678,964.5957191744897,0.4242226554781085,0.390152458155232,0.07132434930267761,0.04632371304113922,0.06797682402284247
174,638.1611157900586,1090564.3687864826,0.5852337419619469,309,13476257.552444331,396.79433092349205,964.4950522298429,0.40160161994059224,0.40936800863693323,0.0697481087400315,0.04088530252312071,0.07839696015932238
175,654.6369128904795,1056651.233225795,0.5377619712789393,309,12168740.009782387,389.6735653210408,944.7846287171756,0.3802068722883099,0.4273084779228225,0.06969968292308869,0.033818572325985896,0.08896639453979309
176,688.699812675797,1039666.7394445956,0.8855460470246331,309,19835678.04140534,441.84117668289497,1081.9796522791924,0.5105667844508558,0.3196749772701638,0.05961773059311475,0.0907126070596794,0.019427900626186313
177,578.2532796749847,1174295.6933047278,0.5713001165357589,309,14025547.259618107,394.70428710956384,964.7889126941562,0.39485357761113915,0.41511509462682056,0.06918565248707194,0.03938597921929052,0.08145969605567788
178,577.107950163302,908015.274803196,0.7110153271829242,309,16825528.11195246,415.6615687066386,995.9265767573326,0.45417667316429366,0.36537320731614814,0.06929998342378539,0.059007113759788114,0.052143022335984696
